species,latitude,longitude,country,year,dataset,basisOfRecord
BOLD:ABU6903,38.073254,104.69114,China,2007,Unknown,MATERIAL_SAMPLE
BOLD:ABU6903,38.073254,104.69114,China,2007,Unknown,MATERIAL_SAMPLE
BOLD:ABU6903,38.073254,104.69114,China,2007,Unknown,MATERIAL_SAMPLE
"Budorcas taxicolor Hodgson, 1850",No Coordinates,No Coordinates,China,2007,Unknown,PRESERVED_SPECIMEN
"Budorcas taxicolor Hodgson, 1850",No Coordinates,No Coordinates,China,2007,Unknown,PRESERVED_SPECIMEN
"Budorcas taxicolor Hodgson, 1850",No Coordinates,No Coordinates,China,2007,Unknown,PRESERVED_SPECIMEN
"Budorcas taxicolor Hodgson, 1850",No Coordinates,No Coordinates,China,2007,Unknown,PRESERVED_SPECIMEN
"Budorcas taxicolor Hodgson, 1850",No Coordinates,No Coordinates,China,2007,Unknown,PRESERVED_SPECIMEN
"Budorcas taxicolor Hodgson, 1850",No Coordinates,No Coordinates,China,2007,Unknown,PRESERVED_SPECIMEN
BOLD:ABU6903,38.073254,104.69114,China,2006,Unknown,MATERIAL_SAMPLE
"Budorcas taxicolor Hodgson, 1850",No Coordinates,No Coordinates,China,2006,Unknown,PRESERVED_SPECIMEN
"Budorcas taxicolor Hodgson, 1850",27.425946,96.499496,India,2006,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas taxicolor Hodgson, 1850",27.440609,96.438532,India,2006,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas bedfordi (Thomas, 1911)",No Coordinates,No Coordinates,China,2005,Unknown,PRESERVED_SPECIMEN
"Budorcas taxicolor Hodgson, 1850",35.078382,-106.663485,United States of America,2005,Unknown,PRESERVED_SPECIMEN
"Budorcas taxicolor Hodgson, 1850",35.078382,-106.663485,United States of America,2005,Unknown,PRESERVED_SPECIMEN
"Budorcas taxicolor Hodgson, 1850",35.078382,-106.663485,United States of America,2005,Unknown,PRESERVED_SPECIMEN
"Budorcas taxicolor Hodgson, 1850",No Coordinates,No Coordinates,China,2005,Unknown,MATERIAL_SAMPLE
BOLD:ABU6903,38.073254,104.69114,China,2005,Unknown,MATERIAL_SAMPLE
"Budorcas taxicolor Hodgson, 1850",No Coordinates,No Coordinates,China,2005,Unknown,PRESERVED_SPECIMEN
"Budorcas taxicolor Hodgson, 1850",No Coordinates,No Coordinates,Unknown,2003,Unknown,PRESERVED_SPECIMEN
"Budorcas taxicolor Hodgson, 1850",No Coordinates,No Coordinates,Unknown,2003,Unknown,PRESERVED_SPECIMEN
"Budorcas taxicolor Hodgson, 1850",No Coordinates,No Coordinates,Unknown,2003,Unknown,PRESERVED_SPECIMEN
"Budorcas taxicolor Hodgson, 1850",No Coordinates,No Coordinates,Unknown,2003,Unknown,MATERIAL_SAMPLE
"Budorcas taxicolor Hodgson, 1850",No Coordinates,No Coordinates,China,2002,Unknown,PRESERVED_SPECIMEN
"Budorcas taxicolor Hodgson, 1850",25.2949,98.76,China,2002,Rapid Inventory 4,HUMAN_OBSERVATION
"Budorcas taxicolor Hodgson, 1850",52.4082,16.90494,Poland,2002,Unknown,PRESERVED_SPECIMEN
"Budorcas taxicolor Hodgson, 1850",No Coordinates,No Coordinates,Germany,2001,Unknown,PRESERVED_SPECIMEN
"Budorcas taxicolor Hodgson, 1850",No Coordinates,No Coordinates,Unknown,2000,Unknown,PRESERVED_SPECIMEN
"Budorcas taxicolor Hodgson, 1850",No Coordinates,No Coordinates,Unknown,2000,Unknown,PRESERVED_SPECIMEN
"Budorcas taxicolor Hodgson, 1850",47.668428,-122.350877,United States of America,2000,Unknown,PRESERVED_SPECIMEN
"Budorcas taxicolor Hodgson, 1850",No Coordinates,No Coordinates,Germany,1999,Unknown,PRESERVED_SPECIMEN
"Budorcas taxicolor Hodgson, 1850",No Coordinates,No Coordinates,Unknown,1998,Unknown,PRESERVED_SPECIMEN
"Budorcas taxicolor Hodgson, 1850",No Coordinates,No Coordinates,Germany,1997,Unknown,OBSERVATION
"Budorcas taxicolor Hodgson, 1850",No Coordinates,No Coordinates,Germany,1997,Unknown,OBSERVATION
"Budorcas taxicolor Hodgson, 1850",No Coordinates,No Coordinates,Germany,1989,Unknown,OBSERVATION
"Budorcas taxicolor Hodgson, 1850",33.582406,108.459931,China,1985,Unknown,PRESERVED_SPECIMEN
"Budorcas taxicolor Hodgson, 1850",No Coordinates,No Coordinates,Germany,1983,Unknown,OBSERVATION
"Budorcas taxicolor Hodgson, 1850",No Coordinates,No Coordinates,Germany,1983,Unknown,OBSERVATION
"Budorcas taxicolor Hodgson, 1850",No Coordinates,No Coordinates,Germany,1980,Unknown,OBSERVATION
"Budorcas taxicolor Hodgson, 1850",No Coordinates,No Coordinates,Germany,1980,Unknown,OBSERVATION
"Budorcas taxicolor Hodgson, 1850",No Coordinates,No Coordinates,Germany,1978,Unknown,OBSERVATION
"Budorcas taxicolor Hodgson, 1850",No Coordinates,No Coordinates,Germany,1977,Unknown,OBSERVATION
"Budorcas taxicolor Hodgson, 1850",No Coordinates,No Coordinates,China,1947,Unknown,PRESERVED_SPECIMEN
"Budorcas taxicolor Hodgson, 1850",No Coordinates,No Coordinates,China,1947,Unknown,PRESERVED_SPECIMEN
"Budorcas taxicolor Hodgson, 1850",No Coordinates,No Coordinates,China,1947,Unknown,PRESERVED_SPECIMEN
Budorcas taxicolor taxicolor,No Coordinates,No Coordinates,Myanmar,1939,Unknown,PRESERVED_SPECIMEN
"Budorcas taxicolor tibetana Milne-Edwards, 1874",No Coordinates,No Coordinates,China,1938,NMNH Extant Biology,PRESERVED_SPECIMEN
"Budorcas taxicolor tibetana Milne-Edwards, 1874",No Coordinates,No Coordinates,China,1938,NMNH Extant Biology,PRESERVED_SPECIMEN
"Budorcas taxicolor tibetana Milne-Edwards, 1874",No Coordinates,No Coordinates,China,1938,NMNH Extant Biology,PRESERVED_SPECIMEN
"Budorcas taxicolor tibetana Milne-Edwards, 1874",29.43333,102.25,China,1936,Unknown,PRESERVED_SPECIMEN
"Budorcas taxicolor tibetana Milne-Edwards, 1874",No Coordinates,No Coordinates,China,1935,Unknown,PRESERVED_SPECIMEN
"Budorcas taxicolor tibetana Milne-Edwards, 1874",No Coordinates,No Coordinates,China,1934,NMNH Extant Biology,PRESERVED_SPECIMEN
